Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 29, 2017",4171.62,4214.63,4039.29,4163.07,1367049984,69219221504
"Sep 28, 2017",4197.13,4279.31,4109.7,4174.73,1712320000,69633212416
"Sep 27, 2017",3892.94,4210.05,3884.82,4200.67,1686880000,64579231744
"Sep 26, 2017",3928.41,3969.89,3869.9,3892.35,1043740032,65161023488
"Sep 25, 2017",3681.58,3950.25,3681.58,3926.07,1374210048,61061095424
"Sep 24, 2017",3796.15,3796.15,3666.9,3682.84,768014976,62954283008
"Sep 23, 2017",3629.92,3819.21,3594.58,3792.4,928113984,60190023680
"Sep 22, 2017",3628.02,3758.27,3553.53,3630.7,1194829952,60152250368
"Sep 21, 2017",3901.47,3916.42,3613.63,3631.04,1411480064,64677552128
"Sep 20, 2017",3916.36,4031.39,3857.73,3905.95,1213830016,64918507520
"Sep 19, 2017",4073.79,4094.07,3868.87,3924.97,1563980032,67520266240
"Sep 18, 2017",3591.09,4079.23,3591.09,4065.2,1943209984,59514085376
"Sep 17, 2017",3606.28,3664.81,3445.64,3582.88,1239149952,59757817856
"Sep 16, 2017",3637.75,3808.84,3487.79,3625.04,1818400000,60271636480
"Sep 15, 2017",3166.3,3733.45,2946.62,3637.52,4148069888,52453515264
"Sep 14, 2017",3875.37,3920.6,3153.86,3154.95,2716310016,64191565824
"Sep 13, 2017",4131.98,4131.98,3789.92,3882.59,2219409920,68432248832
"Sep 12, 2017",4168.88,4344.65,4085.22,4130.81,1864530048,69033369600
